https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.1,Bugs,Elements and clicks outside of the screen on Java tables are now properly tracked
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.1,Bugs,Added mscorlib.dll as reference after importing external packages
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.1,Bugs,The tab pages of the AUT can now be navigated through
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.0,General changes/features,Ranorex Studio is now compatible with iOS 17
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.0,Bugs,Elements and images are now displayed correctly when tracked through Spy for UISplitViewController application
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.0,Bugs,Text inside Empty_state of the iOS 17 feature app is now trackable
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.0,Bugs,Elements are now properly tracked in the Safari browser
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.0,Bugs,FetchstartableApps is now working in Spy
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.0,Bugs,Fixed an issue with the HasFocus attribute when an element in the menu bar was selected in Spy
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.3,General changes/features,Ranorex updated KeePass to version 2.55
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.3,Bugs,The Invoke action Select() now works as expected in web applications after a page refresh 
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.3,Bugs,Fixed bug related to API Level 33 that made instrumented Android apps not open as expected
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.3,Bugs,PDF reports are now properly created when the ÅgInclude video reportingÅh option is enabled
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.3,Bugs,Video links are no longer missing in PDF reports
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.2,General changes/features,Added support for Qt version 6.3
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.2,Bugs,Fixed bug where AccesibleName property value was not being shown for desktop applications built using QT 5 
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.2,Bugs,Fixed bug where Oracle form objects were not getting tracked
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.2,Bugs,Fixed bug where it was unable to detect Desktop App Table Rows and Cells for Delphi Based applications
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.2,Bugs,Ranorex driver now supports the isDisplayed() Selenium webdriver command
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.1,Bugs,Addressed instrumented Android app crashing while opening and recording
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.1,Bugs,Fixed bug with instrumented iOS app crashing while opening
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.1,Bugs,Addressed an issue related to iPad AUT elements
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.1,Bugs,Child items to Infragistics combo box controls are now detected as expected
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.1,Bugs,Fixed issue related to InvokeRemotely
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.0,General changes/features,Support for Google Chrome and Microsoft Edge parallel automation
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.0,Bugs,Fixed bug to inject UIA plugin by supporting ÅgCom-basedÅh client APIs
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.0,Bugs,MSAA (Microsoft Active Accessibility) elements are no longer duplicated on Ranorex Spy
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.0,Bugs,Openbrowser() now works as expected on Google Chrome and Microsoft Edge
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.0,Bugs,Fixed bug related to data-driven testing while setting the ÅgUse cacheÅh property set to ÅgTrueÅh
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,General changes/features,"Ranorex now supports Selenium 4. This includes compatibility with:

Selenium server for remote web testing
Selenium Grid
Selenium 4 new syntax"","" protocol"","" and APIs
Selenium scripts in Python"","" C#"","" and Java
Chrome DevTools
The latest versions of Google Chrome"","" Mozilla Firefox"","" Safari"","" and Microsoft Edge across Windows"","" Linux"","" and macOS
All mouse and keyboard actions

"
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,General changes/features,Selenium server for remote web testing
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,General changes/features,Selenium Grid
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,General changes/features,"Selenium 4 new syntax"","" protocol"","" and APIs"
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,General changes/features,"Selenium scripts in Python"","" C#"","" and Java"
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,General changes/features,Chrome DevTools
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,General changes/features,"The latest versions of Google Chrome"","" Mozilla Firefox"","" Safari"","" and Microsoft Edge across Windows"","" Linux"","" and macOS"
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,General changes/features,All mouse and keyboard actions
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,Bugs,The Ranorex Studio Setup WizardÅfs third step has been updated to include a fixed ÅgBackÅh button and a visible title
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,Bugs,Config.toml file changes are now also reflected after restarting Ranorex Driver
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,This release comes with a number of bug fixes related to the use of Selenium WebDriver:,Fixed logged message when opening web browsers via endpoints
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,This release comes with a number of bug fixes related to the use of Selenium WebDriver:,ÅgValueÅh attribute validation no longer fails when it is set to Åg(null)Åh
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,This release comes with a number of bug fixes related to the use of Selenium WebDriver:,"We have solved issues with the validation of attributes ÅgHasFocusÅh"","" ÅgDisabledÅh"","" ÅgDraggableÅh"
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,This release comes with a number of bug fixes related to the use of Selenium WebDriver:,Fixed validation issue related to color codes
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,This release comes with a number of bug fixes related to the use of Selenium WebDriver:,Added support for critical sequences
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,This release comes with a number of bug fixes related to the use of Selenium WebDriver:,ÅgDoubleClickÅh mouse actions now successfully select text within input fields
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,This release comes with a number of bug fixes related to the use of Selenium WebDriver:,Drag and drop mouse action is now supported
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,This release comes with a number of bug fixes related to the use of Selenium WebDriver:,iFrame elements are correctly detected
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,This release comes with a number of bug fixes related to the use of Selenium WebDriver:,Window popup modals are now detected
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,This release comes with a number of bug fixes related to the use of Selenium WebDriver:,Elements with their Ågaria-disabledÅh attribute set to True are now shown as disabled
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,This release comes with a number of bug fixes related to the use of Selenium WebDriver:,Individual elements within a slider can now be tracked separately
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,This release comes with a number of bug fixes related to the use of Selenium WebDriver:,JavaScript alert boxes can now be tracked
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,This release comes with a number of bug fixes related to the use of Selenium WebDriver:,Fixed bug related to inverted captured images during test runs
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.0.0,This release comes with a number of bug fixes related to the use of Selenium WebDriver:,Chrome execution failure was addressed
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,10.7.6,General changes/features,Ranorex now supports WinForms applications containing WPF UI items
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,10.7.6,General changes/features,"Ranorex now offers a new option called UiaPreferred_WpfImprovedOnly"","" which combines UiaPreferred and WpfImprovedOnly options

For more information"","" refer to the User Guide Plugin Specific Settings ? WPF Legacy/UIA Interaction section.

"
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,10.7.6,General changes/features,"For more information"","" refer to the User Guide Plugin Specific Settings ? WPF Legacy/UIA Interaction section."
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,10.7.6,Bugs,Recognition of WPF applicationsÅf tree of elements is now consistent between Ranorex 10.2.3 and 10.3.0
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,10.7.6,Bugs,FindSingle now returns a WinForms.core element instead of a WinForms element
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,10.7.6,Bugs,Fixed WpfRemotingException error message
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,10.7.6,Bugs,CMD-generated .rxlog data reports are no longer empty
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,10.7.6,Bugs,InvokeRemotely is now supported by WinForms and WinForms.Core plugins
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,10.7.5,Bugs,The DOM structure is now properly tracked on Firefox 114.0
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,10.7.5,Bugs,Ranorex Chrome extension no longer causes the redirect to Google from Microsoft websites
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,10.7.5,Bugs,Ranorex Chrome extension now works as expected in Ranorex 10.6.1 when selecting values from a combo box
